cell_id,cycle,capacity_ah,capacity_pct,temperature_c,charge_rate_c,discharge_rate_c
cell_001,41,1.9665,98.27,23.6,1.5,2.0
cell_001,42,2.0083,100.36,23.6,1.5,2.0
cell_001,43,1.9615,98.02,23.6,1.5,2.0
cell_001,44,2.0216,101.02,23.6,1.5,2.0
cell_001,45,2.0187,100.88,23.6,1.5,2.0
cell_001,46,1.9966,99.77,23.6,1.5,2.0
cell_001,47,1.9465,97.27,23.6,1.5,2.0
cell_001,48,1.9742,98.65,23.6,1.5,2.0
cell_001,49,1.9673,98.31,23.6,1.5,2.0
cell_001,50,1.9925,99.57,23.6,1.5,2.0
cell_001,51,1.9557,97.73,23.6,1.5,2.0
cell_001,52,2.0187,100.88,23.6,1.5,2.0
cell_001,53,1.9734,98.62,23.6,1.5,2.0
cell_001,54,1.9903,99.46,23.6,1.5,2.0
cell_001,55,2.0169,100.79,23.6,1.5,2.0
cell_001,56,1.9999,99.94,23.6,1.5,2.0
cell_001,57,2.0153,100.71,23.6,1.5,2.0
cell_001,58,1.9858,99.23,23.6,1.5,2.0
cell_001,59,1.9643,98.16,23.6,1.5,2.0
cell_001,60,2.0042,100.16,23.6,1.5,2.0
cell_001,61,2.0122,100.55,23.6,1.5,2.0
cell_001,62,1.9642,98.15,23.6,1.5,2.0
cell_001,63,1.9818,99.04,23.6,1.5,2.0
cell_001,64,1.9911,99.5,23.6,1.5,2.0
cell_001,65,1.9623,98.06,23.6,1.5,2.0
cell_001,66,1.9513,97.51,23.6,1.5,2.0
cell_001,67,1.9953,99.71,23.6,1.5,2.0
cell_001,68,1.995,99.7,23.6,1.5,2.0
cell_001,69,1.9504,97.46,23.6,1.5,2.0
cell_001,70,1.9792,98.91,23.6,1.5,2.0
cell_001,71,2.0059,100.24,23.6,1.5,2.0
cell_001,72,2.01,100.45,23.6,1.5,2.0
cell_001,73,1.9774,98.82,23.6,1.5,2.0
cell_001,74,1.9737,98.63,23.6,1.5,2.0
cell_001,75,1.9721,98.55,23.6,1.5,2.0
cell_001,76,1.9871,99.3,23.6,1.5,2.0
cell_001,77,1.999,99.9,23.6,1.5,2.0
cell_001,78,1.9437,97.13,23.6,1.5,2.0
cell_001,79,1.9592,97.91,23.6,1.5,2.0
cell_001,80,1.9741,98.65,23.6,1.5,2.0
cell_001,81,2.0076,100.33,23.6,1.5,2.0
cell_001,82,1.9682,98.36,23.6,1.5,2.0
cell_001,83,1.942,97.05,23.6,1.5,2.0
cell_001,84,1.9736,98.62,23.6,1.5,2.0
cell_001,85,2.0043,100.16,23.6,1.5,2.0
cell_001,86,1.9774,98.82,23.6,1.5,2.0
cell_001,87,2.0104,100.47,23.6,1.5,2.0
cell_001,88,1.982,99.04,23.6,1.5,2.0
cell_001,89,1.966,98.25,23.6,1.5,2.0
cell_001,90,1.9734,98.61,23.6,1.5,2.0
cell_001,91,1.9882,99.36,23.6,1.5,2.0
cell_001,92,1.9598,97.93,23.6,1.5,2.0
cell_001,93,1.9367,96.78,23.6,1.5,2.0
cell_001,94,1.9323,96.56,23.6,1.5,2.0
cell_001,95,1.9458,97.24,23.6,1.5,2.0
cell_001,96,1.9617,98.03,23.6,1.5,2.0
cell_001,97,1.9702,98.46,23.6,1.5,2.0
cell_001,98,1.9769,98.79,23.6,1.5,2.0
cell_001,99,1.9906,99.47,23.6,1.5,2.0
cell_001,100,1.9565,97.77,23.6,1.5,2.0
cell_001,101,1.9649,98.19,23.6,1.5,2.0
cell_001,102,1.9757,98.73,23.6,1.5,2.0
cell_001,103,1.9866,99.28,23.6,1.5,2.0
cell_001,104,1.9465,97.27,23.6,1.5,2.0
cell_001,105,1.9871,99.3,23.6,1.5,2.0
cell_001,106,2.0046,100.17,23.6,1.5,2.0
cell_001,107,1.9602,97.95,23.6,1.5,2.0
cell_001,108,1.9933,99.61,23.6,1.5,2.0
cell_001,109,1.9647,98.18,23.6,1.5,2.0
cell_001,110,1.9749,98.69,23.6,1.5,2.0
cell_001,111,1.943,97.1,23.6,1.5,2.0
cell_001,112,1.9825,99.07,23.6,1.5,2.0
cell_001,113,1.992,99.55,23.6,1.5,2.0
cell_001,114,1.9242,96.16,23.6,1.5,2.0
cell_001,115,1.9576,97.83,23.6,1.5,2.0
cell_001,116,1.9987,99.88,23.6,1.5,2.0
cell_001,117,1.9577,97.83,23.6,1.5,2.0
cell_001,118,1.9385,96.87,23.6,1.5,2.0
cell_001,119,1.9786,98.88,23.6,1.5,2.0
cell_001,120,1.944,97.14,23.6,1.5,2.0
cell_001,121,1.9265,96.27,23.6,1.5,2.0
cell_001,122,1.9524,97.56,23.6,1.5,2.0
cell_001,123,1.9975,99.82,23.6,1.5,2.0
cell_001,124,1.988,99.35,23.6,1.5,2.0
cell_001,125,1.9575,97.82,23.6,1.5,2.0
cell_001,126,1.9199,95.94,23.6,1.5,2.0
cell_001,127,1.9181,95.85,23.6,1.5,2.0
cell_001,128,1.938,96.85,23.6,1.5,2.0
cell_001,129,1.957,97.8,23.6,1.5,2.0
cell_001,130,1.9412,97.01,23.6,1.5,2.0
cell_001,131,1.9784,98.87,23.6,1.5,2.0
cell_001,132,1.9901,99.45,23.6,1.5,2.0
cell_001,133,1.9481,97.35,23.6,1.5,2.0
cell_001,134,1.9552,97.71,23.6,1.5,2.0
cell_001,135,1.9283,96.36,23.6,1.5,2.0
cell_001,136,1.9481,97.35,23.6,1.5,2.0
cell_001,137,1.9653,98.21,23.6,1.5,2.0
cell_001,138,1.9137,95.63,23.6,1.5,2.0
cell_001,139,1.9596,97.93,23.6,1.5,2.0
cell_001,140,1.9854,99.22,23.6,1.5,2.0
cell_001,141,1.9418,97.04,23.6,1.5,2.0
cell_001,142,1.9573,97.81,23.6,1.5,2.0
cell_001,143,1.9505,97.47,23.6,1.5,2.0
cell_001,144,1.9615,98.02,23.6,1.5,2.0
cell_001,145,1.9695,98.42,23.6,1.5,2.0
cell_001,146,1.9277,96.33,23.6,1.5,2.0
cell_001,147,1.9259,96.24,23.6,1.5,2.0
cell_001,148,1.9743,98.66,23.6,1.5,2.0
cell_001,149,1.9477,97.33,23.6,1.5,2.0
cell_001,150,1.9418,97.03,23.6,1.5,2.0
cell_001,151,1.9151,95.7,23.6,1.5,2.0
cell_001,152,1.957,97.8,23.6,1.5,2.0
cell_001,153,1.9616,98.03,23.6,1.5,2.0
cell_001,154,1.9642,98.15,23.6,1.5,2.0
cell_001,155,1.966,98.25,23.6,1.5,2.0
cell_001,156,1.9448,97.18,23.6,1.5,2.0
cell_001,157,1.9118,95.54,23.6,1.5,2.0
cell_001,158,1.963,98.1,23.6,1.5,2.0
cell_001,159,1.9474,97.32,23.6,1.5,2.0
cell_001,160,1.9427,97.08,23.6,1.5,2.0
cell_001,161,1.9136,95.63,23.6,1.5,2.0
cell_001,162,1.9103,95.46,23.6,1.5,2.0
cell_001,163,1.9273,96.31,23.6,1.5,2.0
cell_001,164,1.9552,97.71,23.6,1.5,2.0
cell_001,165,1.9211,96.0,23.6,1.5,2.0
cell_001,166,1.9248,96.18,23.6,1.5,2.0
cell_001,167,1.9803,98.96,23.6,1.5,2.0
cell_001,168,1.9672,98.3,23.6,1.5,2.0
cell_001,169,1.9466,97.28,23.6,1.5,2.0
cell_001,170,1.9222,96.06,23.6,1.5,2.0
cell_001,171,1.931,96.5,23.6,1.5,2.0
cell_001,172,1.9638,98.13,23.6,1.5,2.0
cell_001,173,1.968,98.35,23.6,1.5,2.0
cell_001,174,1.9291,96.4,23.6,1.5,2.0
cell_001,175,1.9353,96.71,23.6,1.5,2.0
cell_001,176,1.9361,96.75,23.6,1.5,2.0
cell_001,177,1.9668,98.28,23.6,1.5,2.0
cell_001,178,1.9705,98.47,23.6,1.5,2.0
cell_001,179,1.9025,95.07,23.6,1.5,2.0
cell_001,180,1.9224,96.07,23.6,1.5,2.0
cell_001,181,1.9248,96.19,23.6,1.5,2.0
cell_001,182,1.9046,95.18,23.6,1.5,2.0
cell_001,183,1.9081,95.35,23.6,1.5,2.0
cell_001,184,1.9585,97.87,23.6,1.5,2.0
cell_001,185,1.933,96.59,23.6,1.5,2.0
cell_001,186,1.9396,96.93,23.6,1.5,2.0
cell_001,187,1.9332,96.61,23.6,1.5,2.0
cell_001,188,1.9369,96.79,23.6,1.5,2.0
cell_001,189,1.9582,97.86,23.6,1.5,2.0
cell_001,190,1.917,95.8,23.6,1.5,2.0
cell_001,191,1.9393,96.91,23.6,1.5,2.0
cell_001,192,1.9162,95.76,23.6,1.5,2.0
cell_001,193,1.9215,96.02,23.6,1.5,2.0
cell_001,194,1.9021,95.05,23.6,1.5,2.0
cell_001,195,1.9209,95.99,23.6,1.5,2.0
cell_001,196,1.9445,97.17,23.6,1.5,2.0
cell_001,197,1.9289,96.39,23.6,1.5,2.0
cell_001,198,1.9393,96.91,23.6,1.5,2.0
cell_001,199,1.9227,96.08,23.6,1.5,2.0
cell_001,200,1.9578,97.84,23.6,1.5,2.0
cell_001,201,1.9442,97.15,23.6,1.5,2.0
cell_001,202,1.9378,96.84,23.6,1.5,2.0
cell_001,203,1.9143,95.66,23.6,1.5,2.0
cell_001,204,1.9623,98.06,23.6,1.5,2.0
cell_001,205,1.9508,97.48,23.6,1.5,2.0
cell_001,206,1.9398,96.93,23.6,1.5,2.0
cell_001,207,1.9538,97.64,23.6,1.5,2.0
cell_001,208,1.9555,97.72,23.6,1.5,2.0
cell_001,209,1.8957,94.73,23.6,1.5,2.0
cell_001,210,1.9293,96.41,23.6,1.5,2.0
cell_001,211,1.9582,97.86,23.6,1.5,2.0
cell_001,212,1.9456,97.23,23.6,1.5,2.0
cell_001,213,1.9635,98.12,23.6,1.5,2.0
cell_001,214,1.8901,94.45,23.6,1.5,2.0
cell_001,215,1.9329,96.59,23.6,1.5,2.0
cell_001,216,1.922,96.05,23.6,1.5,2.0
cell_001,217,1.9546,97.68,23.6,1.5,2.0
cell_001,218,1.8832,94.11,23.6,1.5,2.0
cell_001,219,1.8953,94.71,23.6,1.5,2.0
cell_001,220,1.932,96.55,23.6,1.5,2.0
cell_001,221,1.8997,94.93,23.6,1.5,2.0
cell_001,222,1.9239,96.14,23.6,1.5,2.0
cell_001,223,1.9507,97.48,23.6,1.5,2.0
cell_001,224,1.9375,96.82,23.6,1.5,2.0
cell_001,225,1.9544,97.67,23.6,1.5,2.0
cell_001,226,1.9008,94.99,23.6,1.5,2.0
cell_001,227,1.888,94.35,23.6,1.5,2.0
cell_001,228,1.916,95.75,23.6,1.5,2.0
cell_001,229,1.8973,94.81,23.6,1.5,2.0
cell_001,230,1.8793,93.92,23.6,1.5,2.0
cell_001,231,1.895,94.7,23.6,1.5,2.0
cell_001,232,1.9226,96.07,23.6,1.5,2.0
cell_001,233,1.9049,95.19,23.6,1.5,2.0
cell_001,234,1.9108,95.49,23.6,1.5,2.0
cell_001,235,1.8837,94.14,23.6,1.5,2.0
cell_001,236,1.9229,96.09,23.6,1.5,2.0
cell_001,237,1.899,94.9,23.6,1.5,2.0
cell_001,238,1.9473,97.31,23.6,1.5,2.0
cell_001,239,1.9409,96.99,23.6,1.5,2.0
cell_001,240,1.8779,93.84,23.6,1.5,2.0
cell_001,241,1.9211,96.0,23.6,1.5,2.0
cell_001,242,1.9251,96.2,23.6,1.5,2.0
cell_001,243,1.8895,94.42,23.6,1.5,2.0
cell_001,244,1.9167,95.78,23.6,1.5,2.0
cell_001,245,1.9407,96.98,23.6,1.5,2.0
cell_001,246,1.9394,96.91,23.6,1.5,2.0
cell_001,247,1.9287,96.38,23.6,1.5,2.0
cell_001,248,1.8787,93.88,23.6,1.5,2.0
cell_001,249,1.9321,96.55,23.6,1.5,2.0
cell_001,250,1.9195,95.92,23.6,1.5,2.0
cell_001,251,1.8845,94.17,23.6,1.5,2.0
cell_001,252,1.8808,93.99,23.6,1.5,2.0
cell_001,253,1.9336,96.63,23.6,1.5,2.0
cell_001,254,1.8975,94.82,23.6,1.5,2.0
cell_001,255,1.8802,93.96,23.6,1.5,2.0
cell_001,256,1.9037,95.13,23.6,1.5,2.0
cell_001,257,1.8978,94.84,23.6,1.5,2.0
cell_001,258,1.8814,94.02,23.6,1.5,2.0
cell_001,259,1.8844,94.17,23.6,1.5,2.0
cell_001,260,1.8648,93.19,23.6,1.5,2.0
cell_001,261,1.878,93.85,23.6,1.5,2.0
cell_001,262,1.9003,94.96,23.6,1.5,2.0
cell_001,263,1.885,94.2,23.6,1.5,2.0
cell_001,264,1.8857,94.23,23.6,1.5,2.0
cell_001,265,1.8803,93.96,23.6,1.5,2.0
cell_001,266,1.8843,94.16,23.6,1.5,2.0
cell_001,267,1.9302,96.46,23.6,1.5,2.0
cell_001,268,1.8864,94.27,23.6,1.5,2.0
cell_001,269,1.9103,95.46,23.6,1.5,2.0
cell_001,270,1.8757,93.73,23.6,1.5,2.0
cell_001,271,1.8979,94.84,23.6,1.5,2.0
cell_001,272,1.9175,95.82,23.6,1.5,2.0
cell_001,273,1.8736,93.63,23.6,1.5,2.0
cell_001,274,1.8865,94.27,23.6,1.5,2.0
cell_001,275,1.936,96.74,23.6,1.5,2.0
cell_001,276,1.8818,94.04,23.6,1.5,2.0
cell_001,277,1.9313,96.51,23.6,1.5,2.0
cell_001,278,1.9281,96.35,23.6,1.5,2.0
cell_001,279,1.8952,94.71,23.6,1.5,2.0
cell_001,280,1.8867,94.28,23.6,1.5,2.0
cell_001,281,1.9118,95.54,23.6,1.5,2.0
cell_001,282,1.9246,96.18,23.6,1.5,2.0
cell_001,283,1.8979,94.84,23.6,1.5,2.0
cell_001,284,1.9227,96.08,23.6,1.5,2.0
cell_001,285,1.8887,94.38,23.6,1.5,2.0
cell_001,286,1.8728,93.59,23.6,1.5,2.0
cell_001,287,1.8574,92.82,23.6,1.5,2.0
cell_001,288,1.9085,95.37,23.6,1.5,2.0
cell_001,289,1.8534,92.62,23.6,1.5,2.0
cell_001,290,1.8553,92.71,23.6,1.5,2.0
cell_001,291,1.8746,93.68,23.6,1.5,2.0
cell_001,292,1.8969,94.79,23.6,1.5,2.0
cell_001,293,1.8866,94.28,23.6,1.5,2.0
cell_001,294,1.9245,96.17,23.6,1.5,2.0
cell_001,295,1.8694,93.42,23.6,1.5,2.0
cell_001,296,1.9001,94.95,23.6,1.5,2.0
cell_001,297,1.8808,93.99,23.6,1.5,2.0
cell_001,298,1.91,95.45,23.6,1.5,2.0
cell_001,299,1.8649,93.19,23.6,1.5,2.0
cell_001,300,1.8797,93.93,23.6,1.5,2.0
cell_001,301,1.8641,93.15,23.6,1.5,2.0
cell_001,302,1.9208,95.99,23.6,1.5,2.0
cell_001,303,1.9058,95.24,23.6,1.5,2.0
cell_001,304,1.8981,94.85,23.6,1.5,2.0
cell_001,305,1.8931,94.6,23.6,1.5,2.0
cell_001,306,1.9042,95.16,23.6,1.5,2.0
cell_001,307,1.8495,92.42,23.6,1.5,2.0
cell_001,308,1.8853,94.21,23.6,1.5,2.0
cell_001,309,1.9101,95.45,23.6,1.5,2.0
cell_001,310,1.8784,93.87,23.6,1.5,2.0
cell_001,311,1.8666,93.28,23.6,1.5,2.0
cell_001,312,1.9125,95.57,23.6,1.5,2.0
cell_001,313,1.8763,93.76,23.6,1.5,2.0
cell_001,314,1.8585,92.87,23.6,1.5,2.0
cell_001,315,1.8573,92.82,23.6,1.5,2.0
cell_001,316,1.8741,93.65,23.6,1.5,2.0
cell_001,317,1.8805,93.98,23.6,1.5,2.0
cell_001,318,1.9189,95.89,23.6,1.5,2.0
cell_001,319,1.899,94.9,23.6,1.5,2.0
cell_001,320,1.845,92.2,23.6,1.5,2.0
cell_001,321,1.916,95.75,23.6,1.5,2.0
cell_001,322,1.8839,94.14,23.6,1.5,2.0
cell_001,323,1.8985,94.87,23.6,1.5,2.0
cell_001,324,1.8785,93.87,23.6,1.5,2.0
cell_001,325,1.8516,92.53,23.6,1.5,2.0
cell_001,326,1.8986,94.88,23.6,1.5,2.0
cell_001,327,1.8971,94.8,23.6,1.5,2.0
cell_001,328,1.857,92.8,23.6,1.5,2.0
cell_001,329,1.8422,92.06,23.6,1.5,2.0
cell_001,330,1.8524,92.57,23.6,1.5,2.0
cell_001,331,1.8704,93.47,23.6,1.5,2.0
cell_001,332,1.9019,95.04,23.6,1.5,2.0
cell_001,333,1.8494,92.42,23.6,1.5,2.0
cell_001,334,1.9055,95.22,23.6,1.5,2.0
cell_001,335,1.8355,91.73,23.6,1.5,2.0
cell_001,336,1.837,91.8,23.6,1.5,2.0
cell_001,337,1.8484,92.37,23.6,1.5,2.0
cell_001,338,1.8785,93.88,23.6,1.5,2.0
cell_001,339,1.8535,92.62,23.6,1.5,2.0
cell_001,340,1.8802,93.96,23.6,1.5,2.0
cell_001,341,1.8946,94.68,23.6,1.5,2.0
cell_001,342,1.9067,95.28,23.6,1.5,2.0
cell_001,343,1.8791,93.9,23.6,1.5,2.0
cell_001,344,1.8415,92.03,23.6,1.5,2.0
cell_001,345,1.8683,93.36,23.6,1.5,2.0
cell_001,346,1.8607,92.98,23.6,1.5,2.0
cell_001,347,1.8751,93.7,23.6,1.5,2.0
cell_001,348,1.8609,92.99,23.6,1.5,2.0
cell_001,349,1.8765,93.77,23.6,1.5,2.0
cell_001,350,1.8417,92.03,23.6,1.5,2.0
cell_001,351,1.8676,93.33,23.6,1.5,2.0
cell_001,352,1.8852,94.21,23.6,1.5,2.0
cell_001,353,1.8361,91.76,23.6,1.5,2.0
cell_001,354,1.833,91.6,23.6,1.5,2.0
cell_001,355,1.8733,93.61,23.6,1.5,2.0
cell_001,356,1.8819,94.04,23.6,1.5,2.0
cell_001,357,1.8312,91.51,23.6,1.5,2.0
cell_001,358,1.8912,94.51,23.6,1.5,2.0
cell_001,359,1.853,92.6,23.6,1.5,2.0
cell_001,360,1.8785,93.87,23.6,1.5,2.0
cell_001,361,1.8927,94.58,23.6,1.5,2.0
cell_001,362,1.8739,93.64,23.6,1.5,2.0
cell_001,363,1.8592,92.91,23.6,1.5,2.0
cell_001,364,1.828,91.35,23.6,1.5,2.0
cell_001,365,1.8395,91.93,23.6,1.5,2.0
cell_001,366,1.8792,93.91,23.6,1.5,2.0
cell_001,367,1.8683,93.36,23.6,1.5,2.0
cell_001,368,1.8481,92.35,23.6,1.5,2.0
cell_001,369,1.8362,91.76,23.6,1.5,2.0
cell_001,370,1.8614,93.02,23.6,1.5,2.0
cell_001,371,1.8441,92.15,23.6,1.5,2.0
cell_001,372,1.8258,91.24,23.6,1.5,2.0
cell_001,373,1.8291,91.41,23.6,1.5,2.0
cell_001,374,1.8437,92.13,23.6,1.5,2.0
cell_001,375,1.8357,91.73,23.6,1.5,2.0
cell_001,376,1.8895,94.42,23.6,1.5,2.0
cell_001,377,1.8686,93.38,23.6,1.5,2.0
cell_001,378,1.8767,93.78,23.6,1.5,2.0
cell_001,379,1.8348,91.69,23.6,1.5,2.0
cell_001,380,1.875,93.7,23.6,1.5,2.0
cell_001,381,1.8853,94.21,23.6,1.5,2.0
cell_001,382,1.8769,93.79,23.6,1.5,2.0
cell_001,383,1.8758,93.74,23.6,1.5,2.0
cell_001,384,1.8528,92.59,23.6,1.5,2.0
cell_001,385,1.8887,94.38,23.6,1.5,2.0
cell_001,386,1.826,91.25,23.6,1.5,2.0
cell_001,387,1.836,91.75,23.6,1.5,2.0
cell_001,388,1.8865,94.27,23.6,1.5,2.0
cell_001,389,1.834,91.65,23.6,1.5,2.0
cell_001,390,1.8324,91.57,23.6,1.5,2.0
cell_001,391,1.8353,91.71,23.6,1.5,2.0
cell_001,392,1.8425,92.07,23.6,1.5,2.0
cell_001,393,1.8448,92.19,23.6,1.5,2.0
cell_001,394,1.8223,91.06,23.6,1.5,2.0
cell_001,395,1.8383,91.86,23.6,1.5,2.0
cell_001,396,1.8598,92.94,23.6,1.5,2.0
cell_001,397,1.8531,92.6,23.6,1.5,2.0
cell_001,398,1.8286,91.38,23.6,1.5,2.0
cell_001,399,1.8207,90.99,23.6,1.5,2.0
cell_001,400,1.8185,90.88,23.6,1.5,2.0
cell_001,401,1.8491,92.4,23.6,1.5,2.0
cell_001,402,1.884,94.15,23.6,1.5,2.0
cell_001,403,1.827,91.3,23.6,1.5,2.0
cell_001,404,1.8654,93.22,23.6,1.5,2.0
cell_001,405,1.8769,93.79,23.6,1.5,2.0
cell_001,406,1.8722,93.56,23.6,1.5,2.0
cell_001,407,1.8068,90.29,23.6,1.5,2.0
cell_001,408,1.8681,93.35,23.6,1.5,2.0
cell_001,409,1.8579,92.85,23.6,1.5,2.0
cell_001,410,1.8406,91.98,23.6,1.5,2.0
cell_001,411,1.8087,90.39,23.6,1.5,2.0
cell_001,412,1.8523,92.56,23.6,1.5,2.0
cell_001,413,1.8139,90.65,23.6,1.5,2.0
cell_001,414,1.8617,93.03,23.6,1.5,2.0
cell_001,415,1.8089,90.4,23.6,1.5,2.0
cell_001,416,1.8691,93.4,23.6,1.5,2.0
cell_001,417,1.7989,89.89,23.6,1.5,2.0
cell_001,418,1.8635,93.12,23.6,1.5,2.0
cell_001,419,1.8378,91.84,23.6,1.5,2.0
cell_001,420,1.8082,90.36,23.6,1.5,2.0
cell_001,421,1.8057,90.24,23.6,1.5,2.0
cell_001,422,1.8476,92.33,23.6,1.5,2.0
cell_001,423,1.8673,93.31,23.6,1.5,2.0
cell_001,424,1.868,93.35,23.6,1.5,2.0
cell_001,425,1.8256,91.23,23.6,1.5,2.0
cell_001,426,1.795,89.7,23.6,1.5,2.0
cell_001,427,1.8073,90.31,23.6,1.5,2.0
cell_001,428,1.799,89.9,23.6,1.5,2.0
cell_001,429,1.8606,92.98,23.6,1.5,2.0
cell_001,430,1.8423,92.06,23.6,1.5,2.0
cell_001,431,1.858,92.85,23.6,1.5,2.0
cell_001,432,1.8083,90.37,23.6,1.5,2.0
cell_001,433,1.8518,92.54,23.6,1.5,2.0
cell_001,434,1.8205,90.98,23.6,1.5,2.0
cell_001,435,1.8557,92.73,23.6,1.5,2.0
cell_001,436,1.8607,92.98,23.6,1.5,2.0
cell_001,437,1.8413,92.01,23.6,1.5,2.0
cell_001,438,1.8523,92.57,23.6,1.5,2.0
cell_001,439,1.8141,90.65,23.6,1.5,2.0
cell_001,440,1.8631,93.1,23.6,1.5,2.0
cell_001,441,1.806,90.25,23.6,1.5,2.0
cell_001,442,1.8158,90.74,23.6,1.5,2.0
cell_001,443,1.7952,89.71,23.6,1.5,2.0
cell_001,444,1.7904,89.47,23.6,1.5,2.0
cell_001,445,1.852,92.55,23.6,1.5,2.0
cell_001,446,1.8307,91.48,23.6,1.5,2.0
cell_001,447,1.8214,91.02,23.6,1.5,2.0
cell_001,448,1.8527,92.58,23.6,1.5,2.0
cell_001,449,1.7909,89.49,23.6,1.5,2.0
cell_001,450,1.8237,91.14,23.6,1.5,2.0
cell_001,451,1.8352,91.71,23.6,1.5,2.0
cell_001,452,1.8441,92.15,23.6,1.5,2.0
cell_001,453,1.8288,91.39,23.6,1.5,2.0
cell_001,454,1.8296,91.43,23.6,1.5,2.0
cell_001,455,1.8143,90.67,23.6,1.5,2.0
cell_001,456,1.7963,89.77,23.6,1.5,2.0
cell_001,457,1.799,89.9,23.6,1.5,2.0
cell_001,458,1.7865,89.28,23.6,1.5,2.0
cell_001,459,1.8385,91.88,23.6,1.5,2.0
cell_001,460,1.8451,92.21,23.6,1.5,2.0
cell_001,461,1.8374,91.82,23.6,1.5,2.0
cell_001,462,1.794,89.65,23.6,1.5,2.0
cell_001,463,1.8385,91.87,23.6,1.5,2.0
cell_001,464,1.8143,90.66,23.6,1.5,2.0
cell_001,465,1.7916,89.53,23.6,1.5,2.0
cell_001,466,1.8042,90.16,23.6,1.5,2.0
cell_001,467,1.8396,91.93,23.6,1.5,2.0
cell_001,468,1.8434,92.12,23.6,1.5,2.0
cell_001,469,1.8177,90.83,23.6,1.5,2.0
cell_001,470,1.8294,91.42,23.6,1.5,2.0
cell_001,471,1.8214,91.02,23.6,1.5,2.0
cell_001,472,1.7817,89.03,23.6,1.5,2.0
cell_001,473,1.846,92.25,23.6,1.5,2.0
cell_001,474,1.8007,89.98,23.6,1.5,2.0
cell_001,475,1.7882,89.36,23.6,1.5,2.0
cell_001,476,1.8138,90.64,23.6,1.5,2.0
cell_001,477,1.845,92.2,23.6,1.5,2.0
cell_001,478,1.839,91.9,23.6,1.5,2.0
cell_001,479,1.8318,91.54,23.6,1.5,2.0
cell_001,480,1.7769,88.8,23.6,1.5,2.0
cell_001,481,1.8,89.95,23.6,1.5,2.0
cell_001,482,1.7919,89.55,23.6,1.5,2.0
cell_001,483,1.7987,89.89,23.6,1.5,2.0
cell_001,484,1.8306,91.48,23.6,1.5,2.0
cell_001,485,1.8093,90.42,23.6,1.5,2.0
cell_001,486,1.788,89.35,23.6,1.5,2.0
cell_001,487,1.8161,90.76,23.6,1.5,2.0
cell_001,488,1.794,89.65,23.6,1.5,2.0
cell_001,489,1.8013,90.01,23.6,1.5,2.0
cell_001,490,1.8064,90.27,23.6,1.5,2.0
cell_001,491,1.7944,89.67,23.6,1.5,2.0
cell_001,492,1.818,90.85,23.6,1.5,2.0
cell_001,493,1.7767,88.78,23.6,1.5,2.0
cell_001,494,1.7922,89.56,23.6,1.5,2.0
cell_001,495,1.78,88.95,23.6,1.5,2.0
cell_001,496,1.8072,90.31,23.6,1.5,2.0
cell_001,497,1.7991,89.91,23.6,1.5,2.0
cell_001,498,1.8006,89.98,23.6,1.5,2.0
